id	params
19	q=2008 new&rows=78&start=39&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 1,mincount : 7}}
20	q=creation comments debate&fq=description:(2009 date)&rows=21&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 7,mincount : 6}}
21	q=wikiproject list utc article&rows=23&start=2&json.facet={titles : {type : terms,field : title_t_sort,limit : 26,mincount : 1}}
22	q=championship characters 2009&rows=10&start=10&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 11,mincount : 2}}
23	q=featured administrators can&fq=title:(workshop which)&rows=10&start=5&json.facet={titles : {type : terms,field : description_t_sort,limit : 5,mincount : 4}}
24	q=administrators category&rows=10&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 8,mincount : 1}}
25	q=city australia part national&fq=title:(archive en.wikipedia.org)&rows=73&start=9&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 32,mincount : 5}}
26	q=jpg picture more&rows=10&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 20,mincount : 1}}
27	q=august henry 2009&rows=94&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 9,mincount : 9}}
28	q=band list 2008&rows=4&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 28,mincount : 3}}
29	q=candidates page infobox&rows=10&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 19,mincount : 4}}
30	q=series file links about&fq=title:(administrators further)&rows=16&start=16&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 65,mincount : 3}}
31	q=league september&rows=85&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 5,mincount : 2}}
32	q=rugby lee football division&rows=33&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 1,mincount : 4}}
33	q=united india wikipedia you&rows=1&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 21,mincount : 2}}
34	q=sports high june&rows=68&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 34,mincount : 3}}
35	q=park under coord&fq=description:(team season)&rows=10&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 3,mincount : 2}}
36	q=north where may&rows=10&start=5&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 9,mincount : 1}}
37	q=film logo.png some result&rows=10&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 55,mincount : 2}}
38	q=2005 sockpuppets&fq=description:(2008 external)&rows=20&start=4&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 12,mincount : 1}}
39	q=saskatchewan jpg water first&rows=10&start=0&sort=title_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 63,mincount : 4}}
40	q=issue archive1 team&fq=title:(article http)&rows=54&start=13&sort=title_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 57,mincount : 2}}
41	q=proposals above&fq=description:(version header)&rows=10&start=10&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 7,mincount : 3}}
42	q=world pagename&fq=title:(2006 desk)&rows=88&start=17&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 1,mincount : 8}}
43	q=2nd places more&fq=description:(article links)&rows=10&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 17,mincount : 5}}
44	q=park listings list&fq=description:(national category)&rows=10&start=5&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 5,mincount : 2}}
45	q=desk review user other&fq=description:(spam all)&rows=10&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 4,mincount : 5}}
46	q=2010 english category&rows=10&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 70,mincount : 1}}
47	q=sports ice three&rows=81&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 11,mincount : 2}}
48	q=american series first reflist&rows=10&start=1&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 26,mincount : 6}}
49	q=college united more&rows=82&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 20,mincount : 5}}
50	q=possibly see other&rows=10&start=3&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 16,mincount : 1}}
51	q=noticeboard category people american&fq=title:(review references)&rows=10&start=0&sort=title_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 16,mincount : 3}}
52	q=jpg state made&fq=description:(2008 wikiproject)&rows=87&start=10&sort=description_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 35,mincount : 1}}
53	q=wikiproject county author&fq=description:(james new)&rows=5&start=0&sort=title_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 32,mincount : 4}}
54	q=war american about&fq=description:(wikiproject featured)&rows=10&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 4,mincount : 2}}
55	q=canada december source university&fq=description:(games en.wikipedia.org)&rows=10&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 2,mincount : 1}}
56	q=sock before characters&fq=title:(template you)&rows=1&start=0&sort=title_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 64,mincount : 1}}
57	q=tag archive1 2007&fq=title:(archive national)&rows=15&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 62,mincount : 1}}
58	q=linkreports template after&fq=title:(wikiproject date)&rows=10&start=0&sort=title_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 1,mincount : 3}}
59	q=elections used&fq=description:(portal 2007)&rows=10&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 31,mincount : 3}}
60	q=archive article attempt talk&rows=36&start=36&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 2,mincount : 2}}
61	q=april july pagename&fq=description:(candidates links)&rows=10&start=3&json.facet={titles : {type : terms,field : description_t_sort,limit : 34,mincount : 4}}
62	q=ángel love released&fq=title:(investigations any)&rows=10&start=0&sort=title_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 41,mincount : 1}}
63	q=park style&fq=description:(sep overlap)&rows=10&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 6,mincount : 2}}
64	q=road street name&fq=title:(quality class)&rows=69&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 1,mincount : 2}}
65	q=creation all august&rows=65&start=65&json.facet={titles : {type : terms,field : title_t_sort,limit : 4,mincount : 4}}
66	q=september requests special while&rows=29&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 66,mincount : 3}}
67	q=arbitration album web can&fq=title:(state category)&rows=37&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 2,mincount : 6}}
68	q=august external&rows=75&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 35,mincount : 3}}
69	q=international team world 2005&rows=83&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 45,mincount : 2}}
70	q=championship statistics external&rows=18&start=1&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 23,mincount : 2}}
71	q=deletion featured may&rows=10&start=5&json.facet={titles : {type : terms,field : title_t_sort,limit : 1,mincount : 4}}
72	q=richard community references&rows=10&start=10&json.facet={titles : {type : terms,field : title_t_sort,limit : 92,mincount : 6}}
73	q=july using&rows=12&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 9,mincount : 1}}
74	q=union candidates two references&rows=4&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 12,mincount : 1}}
75	q=college york one&rows=58&start=8&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 25,mincount : 3}}
76	q=coach team players&rows=10&start=10&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 1,mincount : 1}}
77	q=archive texas http people&rows=10&start=1&sort=title_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 30,mincount : 1}}
78	q=thomas some&rows=10&start=10&sort=description_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 27,mincount : 2}}
79	q=alerts template you other&fq=title:(candidates may)&rows=45&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 17,mincount : 2}}
80	q=archive2 can&fq=description:(championship date)&rows=47&start=23&json.facet={titles : {type : terms,field : description_t_sort,limit : 67,mincount : 1}}
81	q=league people title&rows=92&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 40,mincount : 1}}
82	q=history infobox&fq=title:(championship date)&rows=16&start=5&sort=title_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 4,mincount : 1}}
83	q=archives url end&rows=69&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 14,mincount : 1}}
84	q=comics miscellaneous type&rows=40&start=13&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 3,mincount : 3}}
85	q=november spam use what&rows=18&start=3&json.facet={titles : {type : terms,field : description_t_sort,limit : 54,mincount : 1}}
86	q=2005 james which after&fq=description:(science more)&rows=10&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 25,mincount : 2}}
87	q=entertainment other august&fq=description:(version 2009)&rows=88&start=88&sort=title_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 26,mincount : 4}}
88	q=day some adminship&fq=title:(noticeboard see)&rows=10&start=5&json.facet={titles : {type : terms,field : title_t_sort,limit : 11,mincount : 10}}
89	q=wikipedia articles afd 2nd&rows=10&start=5&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 11,mincount : 3}}
90	q=may year jpg&fq=description:(archive user)&rows=61&start=20&json.facet={titles : {type : terms,field : description_t_sort,limit : 4,mincount : 1}}
91	q=requests talk&fq=title:(desk utc)&rows=93&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 62,mincount : 1}}
92	q=list help your may&rows=10&start=5&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 1,mincount : 1}}
93	q=charles may being area&rows=10&start=5&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 10,mincount : 10}}
94	q=battle route talk however&rows=62&start=62&json.facet={titles : {type : terms,field : title_t_sort,limit : 41,mincount : 8}}
95	q=candidates manga one character&fq=title:(wikiproject made)&rows=60&start=20&json.facet={titles : {type : terms,field : description_t_sort,limit : 13,mincount : 1}}
96	q=world administrators 2008&fq=description:(miscellany afd)&rows=37&start=7&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 42,mincount : 6}}
97	q=log thomas members date&fq=title:(2006 york)&rows=64&start=21&json.facet={titles : {type : terms,field : description_t_sort,limit : 25,mincount : 1}}
98	q=quality most 2009&fq=description:(portal wikipedia)&rows=95&start=47&json.facet={titles : {type : terms,field : title_t_sort,limit : 6,mincount : 4}}
99	q=2005 2006 where&fq=description:(quality oldid)&rows=64&start=9&json.facet={titles : {type : terms,field : title_t_sort,limit : 9,mincount : 3}}
100	q=illinois template last where&fq=description:(quality en.wikipedia.org)&rows=10&start=3&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 13,mincount : 4}}
101	q=proposals links image&rows=10&start=10&json.facet={titles : {type : terms,field : description_t_sort,limit : 22,mincount : 1}}
102	q=2006 url stub&fq=description:(oct 2007)&rows=10&start=5&sort=title_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 26,mincount : 2}}
103	q=house 2006 last&rows=10&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 10,mincount : 1}}
104	q=2006 village wikipedia see&fq=title:(august desk)&rows=10&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 6,mincount : 1}}
105	q=2008 spam see made&fq=description:(school one)&rows=19&start=19&json.facet={titles : {type : terms,field : title_t_sort,limit : 5,mincount : 6}}
106	q=disambiguation part references&fq=title:(william external)&rows=95&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 3,mincount : 1}}
107	q=category only&rows=10&start=2&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 36,mincount : 2}}
108	q=new align&rows=30&start=30&json.facet={titles : {type : terms,field : description_t_sort,limit : 5,mincount : 4}}
109	q=maryland part one&fq=title:(list biography)&rows=10&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 2,mincount : 3}}
110	q=december http&rows=4&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 13,mincount : 1}}
111	q=wikipedia subdivision_type subdivision_name1&rows=10&start=2&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 1,mincount : 1}}
112	q=all 2008&fq=title:(class special)&rows=48&start=48&json.facet={titles : {type : terms,field : description_t_sort,limit : 10,mincount : 3}}
113	q=california categories name&rows=58&start=11&json.facet={titles : {type : terms,field : title_t_sort,limit : 10,mincount : 1}}
114	q=2nd list you&rows=10&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 2,mincount : 5}}
115	q=editorial after years&rows=10&start=1&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 81,mincount : 7}}
116	q=duke march new&rows=10&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 17,mincount : 6}}
117	q=assessment references&fq=description:(wikipedia undo)&rows=10&start=0&sort=title_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 26,mincount : 3}}
118	q=articles high through&rows=38&start=7&sort=title_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 17,mincount : 1}}
119	q=missing 2005 last both&fq=description:(jpg articles)&rows=15&start=7&sort=title_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 45,mincount : 2}}
120	q=meta free&rows=66&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 4,mincount : 5}}
121	q=music only&rows=94&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 3,mincount : 4}}
122	q=kingdom team 2006 year&rows=65&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 57,mincount : 8}}
123	q=review log administrators&fq=title:(editorial user)&rows=10&start=0&sort=title_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 4,mincount : 1}}
124	q=united high references&rows=10&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 3,mincount : 1}}
125	q=reference american non over&rows=42&start=10&sort=description_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 14,mincount : 2}}
126	q=california christian over&fq=description:(high date)&rows=10&start=2&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 17,mincount : 2}}
127	q=american red game&fq=title:(apr contributions)&rows=12&start=4&sort=title_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 12,mincount : 2}}
128	q=navbox united&rows=10&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 76,mincount : 4}}
129	q=article date wikiproject&fq=title:(2009 made)&rows=63&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 35,mincount : 1}}
130	q=log accessdate index.php&rows=10&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 52,mincount : 5}}
131	q=category two&rows=43&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 7,mincount : 7}}
132	q=log united 2007&fq=description:(february log)&rows=80&start=40&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 10,mincount : 3}}
133	q=listing county image&rows=10&start=1&json.facet={titles : {type : terms,field : description_t_sort,limit : 23,mincount : 7}}
134	q=west used&fq=title:(american references)&rows=30&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 2,mincount : 1}}
135	q=freiherr kurt world which&fq=title:(requests title)&rows=26&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 40,mincount : 1}}
136	q=kingdom http district&rows=39&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 25,mincount : 1}}
137	q=coireports archives below&fq=description:(football date)&rows=60&start=15&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 68,mincount : 9}}
138	q=australia hockey see&fq=description:(reference further)&rows=13&start=13&json.facet={titles : {type : terms,field : title_t_sort,limit : 8,mincount : 1}}
139	q=island federal country state&rows=0&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 82,mincount : 3}}
140	q=1.0 first now&fq=title:(list date)&rows=10&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 9,mincount : 2}}
141	q=categories peer all new&rows=51&start=25&json.facet={titles : {type : terms,field : description_t_sort,limit : 29,mincount : 5}}
142	q=wikipedia one country&fq=description:(requests other)&rows=90&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 15,mincount : 3}}
143	q=article york list&rows=40&start=0&sort=title_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 13,mincount : 2}}
144	q=air special page&fq=title:(schools state)&rows=10&start=10&json.facet={titles : {type : terms,field : title_t_sort,limit : 34,mincount : 6}}
145	q=national december title&fq=description:(creation http)&rows=22&start=0&sort=title_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 22,mincount : 4}}
146	q=requests one infobox&fq=title:(electoral end)&rows=59&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 68,mincount : 1}}
147	q=files work following&rows=10&start=0&sort=title_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 12,mincount : 2}}
148	q=season noticeboard june&fq=description:(states category)&rows=96&start=24&json.facet={titles : {type : terms,field : title_t_sort,limit : 14,mincount : 1}}
149	q=county you&rows=44&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 19,mincount : 4}}
150	q=politics importance january new&fq=title:(wikiproject discussion)&rows=64&start=10&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 48,mincount : 6}}
151	q=university header&rows=26&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 22,mincount : 6}}
152	q=september only one&rows=10&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 30,mincount : 5}}
153	q=australia known government&fq=title:(january file)&rows=27&start=6&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 37,mincount : 1}}
154	q=help many birth&rows=10&start=10&json.facet={titles : {type : terms,field : title_t_sort,limit : 77,mincount : 3}}
155	q=2008 en.wikipedia.org&rows=10&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 19,mincount : 5}}
156	q=deletion transport june more&rows=10&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 33,mincount : 1}}
157	q=county while both&rows=39&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 94,mincount : 1}}
158	q=championship categories defaultsort world&rows=10&start=10&sort=description_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 2,mincount : 2}}
159	q=list file like&rows=11&start=11&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 49,mincount : 4}}
160	q=george red three en.wikipedia.org&rows=26&start=8&json.facet={titles : {type : terms,field : description_t_sort,limit : 7,mincount : 2}}
161	q=file references may&fq=description:(2007 one)&rows=48&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 6,mincount : 1}}
162	q=history december&rows=24&start=12&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 22,mincount : 9}}
163	q=new state states&rows=10&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 6,mincount : 6}}
164	q=reference pharmacology which&rows=95&start=15&sort=title_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 1,mincount : 2}}
165	q=reference what&fq=description:(sep special)&rows=12&start=12&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 18,mincount : 1}}
166	q=february year user&fq=title:(1.0 version)&rows=10&start=1&json.facet={titles : {type : terms,field : title_t_sort,limit : 53,mincount : 1}}
167	q=featured november new&rows=56&start=18&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 61,mincount : 2}}
168	q=wales desk united&rows=10&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 27,mincount : 4}}
169	q=township war image 2007&fq=title:(coireports wikiproject)&rows=10&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 83,mincount : 1}}
170	q=red 2007&rows=91&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 86,mincount : 1}}
171	q=park team http&rows=58&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 1,mincount : 4}}
172	q=coireports monitoring&fq=description:(reference war)&rows=10&start=5&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 26,mincount : 1}}
173	q=2009 america 2007&fq=title:(wikiproject 100)&rows=26&start=8&json.facet={titles : {type : terms,field : title_t_sort,limit : 64,mincount : 1}}
174	q=university leave below&rows=45&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 12,mincount : 3}}
175	q=oregon listings school subdivision_type&rows=35&start=35&json.facet={titles : {type : terms,field : description_t_sort,limit : 5,mincount : 1}}
176	q=adminship where&rows=10&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 45,mincount : 2}}
177	q=wikipedia special&rows=36&start=36&json.facet={titles : {type : terms,field : description_t_sort,limit : 71,mincount : 6}}
178	q=district united class&rows=25&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 5,mincount : 1}}
179	q=arbitration about&rows=10&start=10&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 17,mincount : 1}}
180	q=school taskforce utc which&rows=10&start=10&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 14,mincount : 1}}
181	q=july spam&rows=10&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 17,mincount : 2}}
182	q=robert florida which&rows=10&start=10&json.facet={titles : {type : terms,field : title_t_sort,limit : 3,mincount : 5}}
183	q=national kingdom website&rows=86&start=28&json.facet={titles : {type : terms,field : title_t_sort,limit : 37,mincount : 1}}
184	q=3rd 3rd must&fq=title:(wikiproject article)&rows=93&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 15,mincount : 1}}
185	q=australia most&rows=10&start=1&json.facet={titles : {type : terms,field : title_t_sort,limit : 24,mincount : 1}}
186	q=creation comments debate&fq=title:(spam which)&rows=10&start=0&sort=title_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 16,mincount : 1}}
187	q=states publisher year&rows=10&start=2&sort=title_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 38,mincount : 3}}
188	q=texas web http&fq=title:(school title)&rows=10&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 55,mincount : 4}}
189	q=september template&rows=43&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 4,mincount : 1}}
190	q=portal years&fq=description:(county links)&rows=26&start=0&json.facet={titles : {type : terms,field : title_t_sort,limit : 56,mincount : 6}}
191	q=template index.php under&rows=10&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 12,mincount : 5}}
192	q=high may&rows=78&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : title_t_sort,limit : 55,mincount : 3}}
193	q=union city&rows=10&start=0&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 47,mincount : 1}}
194	q=archive articles articles&rows=96&start=48&json.facet={titles : {type : terms,field : title_t_sort,limit : 21,mincount : 1}}
195	q=2010 state first team&fq=title:(bots any)&rows=10&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 17,mincount : 3}}
196	q=war april list&rows=97&start=0&json.facet={titles : {type : terms,field : description_t_sort,limit : 62,mincount : 1}}
197	q=jpg league united one&rows=10&start=5&sort=description_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 6,mincount : 1}}
198	q=selected battle title&rows=55&start=11&sort=title_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 11,mincount : 5}}
199	q=series george international&fq=description:(wikiproject coibot)&rows=94&start=15&sort=description_t_sort desc&json.facet={titles : {type : terms,field : description_t_sort,limit : 4,mincount : 4}}
200	q=technology web 2006&rows=84&start=0&sort=description_t_sort asc&json.facet={titles : {type : terms,field : description_t_sort,limit : 19,mincount : 6}}
201	q=candidates june references&fq=title:(james image)&rows=23&start=11&sort=description_t_sort desc&json.facet={titles : {type : terms,field : title_t_sort,limit : 9,mincount : 1}}
